tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:273:21:21:11.263	2009:273:21:21:12.514	11804	75624	5	5	1	1	113.90	67.27
2009:273:21:21:12.514	2009:273:21:25:42.514	11804	75624	5	5	1	1	113.90	65.87
2009:273:21:25:42.514	2009:273:21:30:12.514	11804	75624	5	5	1	1	113.90	60.75
2009:273:21:30:12.514	2009:273:21:34:42.514	11804	75624	5	5	1	1	113.90	53.04
2009:273:21:34:42.514	2009:273:21:38:24.643	11804	75624	5	5	1	1	113.90	48.53
2009:273:21:38:24.643	2009:274:00:03:24.643	11804	75624	5	5	1	1	113.90	47.61
2009:274:00:03:24.643	2009:274:02:28:24.643	11804	75624	5	5	1	1	113.90	47.59
2009:274:02:28:24.643	2009:274:04:53:24.643	11804	75624	5	5	1	1	113.90	47.56
2009:274:04:53:24.643	2009:274:07:18:24.643	11804	75624	5	5	1	1	113.90	47.54
2009:274:07:18:24.643	2009:274:09:43:24.643	11804	75624	5	5	1	1	113.90	47.51
2009:274:09:43:24.643	2009:274:12:08:24.643	11804	75624	5	5	1	1	113.90	47.49
2009:274:12:08:24.643	2009:274:14:23:29.172	11804	75624	5	5	1	1	113.90	47.47
2009:274:14:23:29.172	2009:274:14:25:15.857	11804	-99616	5	5	1	0	112.30	47.47
2009:274:14:25:15.857	2009:274:14:26:29.172	11804	-99616	5	5	1	0	112.30	47.44
2009:274:14:26:29.172	2009:274:14:29:15.862	56796	-99616	5	5	1	0	112.30	47.44
2009:274:14:29:15.862	2009:274:14:33:35.606	56796	-99616	5	5	1	0	112.30	47.44
2009:274:14:33:35.606	2009:274:14:33:45.857	56795	-99616	5	5	1	0	112.30	47.44
2009:274:14:33:45.857	2009:274:14:35:05.606	56795	-99616	5	5	1	0	112.30	47.44
2009:274:14:35:05.606	2009:274:14:35:09.606	56795	-99616	5	5	1	0	112.30	47.44
2009:274:14:35:09.606	2009:274:14:35:13.606	56795	-99616	5	5	1	0	112.30	47.44
2009:274:14:35:13.606	2009:274:14:35:37.606	56795	-99616	0	0	1	0	40.00	47.44
2009:274:14:35:37.606	2009:274:14:36:44.606	56795	-99616	6	6	1	0	118.00	47.44
2009:274:14:36:44.606	2009:274:14:38:35.857	56795	-99616	6	6	1	1	129.00	47.44
2009:274:14:38:35.857	2009:274:14:43:25.857	56795	-99616	6	6	1	1	129.00	51.67
2009:274:14:43:25.857	2009:274:14:48:15.857	56795	-99616	6	6	1	1	129.00	66.31
2009:274:14:48:15.857	2009:274:14:53:05.857	56795	-99616	6	6	1	1	129.00	87.85
2009:274:14:53:05.857	2009:274:14:57:55.857	56795	-99616	6	6	1	1	129.00	109.57
2009:274:14:57:55.857	2009:274:15:02:45.857	56795	-99616	6	6	1	1	129.00	131.30
2009:274:15:02:45.857	2009:274:15:07:35.857	56795	-99616	6	6	1	1	129.00	152.57
2009:274:15:07:35.857	2009:274:15:11:52.867	56795	-99616	6	6	1	1	129.00	166.03
2009:274:15:11:52.867	2009:274:17:12:45.606	56795	-99616	6	6	1	1	129.00	169.25
2009:274:17:12:45.606	2009:274:17:15:45.606	56795	-99616	6	6	1	0	118.00	169.25
2009:274:17:15:45.606	2009:274:17:15:54.606	56795	-99616	6	6	1	0	118.00	169.25
2009:274:17:15:54.606	2009:274:17:30:14.575	56795	-99616	6	6	0	0	96.60	169.25
2009:274:17:30:14.575	2009:274:17:30:24.826	56794	-99616	6	6	0	0	96.60	169.25
2009:274:17:30:24.826	2009:274:17:35:24.826	56794	-99616	6	6	0	0	96.60	169.25
2009:274:17:35:24.826	2009:274:17:40:24.826	56794	-99616	6	6	0	0	96.60	167.96
2009:274:17:40:24.826	2009:274:17:45:24.826	56794	-99616	6	6	0	0	96.60	163.22
2009:274:17:45:24.826	2009:274:17:50:24.826	56794	-99616	6	6	0	0	96.60	156.52
2009:274:17:50:24.826	2009:274:17:54:40.256	56794	-99616	6	6	0	0	96.60	152.50
2009:274:17:54:40.256	2009:274:19:59:40.256	56794	-99616	6	6	0	0	96.60	151.63
2009:274:19:59:40.256	2009:274:21:53:54.867	56794	-99616	6	6	0	0	96.60	151.56
2009:274:21:53:54.867	2009:274:21:54:05.118	56793	-99616	6	6	0	0	96.60	151.56
2009:274:21:54:05.118	2009:274:21:58:45.118	56793	-99616	6	6	0	0	96.60	151.49
2009:274:21:58:45.118	2009:274:22:03:25.118	56793	-99616	6	6	0	0	96.60	151.36
2009:274:22:03:25.118	2009:274:22:08:05.118	56793	-99616	6	6	0	0	96.60	150.83
2009:274:22:08:05.118	2009:274:22:12:45.118	56793	-99616	6	6	0	0	96.60	149.90
2009:274:22:12:45.118	2009:274:22:17:25.118	56793	-99616	6	6	0	0	96.60	148.90
2009:274:22:17:25.118	2009:274:22:22:05.118	56793	-99616	6	6	0	0	96.60	148.03
2009:274:22:22:05.118	2009:274:22:25:40.255	56793	-99616	6	6	0	0	96.60	147.60
2009:274:22:25:40.255	2009:275:00:40:40.255	56793	-99616	6	6	0	0	96.60	147.52
2009:275:00:40:40.255	2009:275:02:31:39.606	56793	-99616	6	6	0	0	96.60	147.57
2009:275:02:31:39.606	2009:275:02:31:43.606	56792	-99616	6	6	0	0	96.60	147.57
2009:275:02:31:43.606	2009:275:02:31:47.606	56792	-99616	6	6	0	0	96.60	147.57
2009:275:02:31:47.606	2009:275:02:32:11.606	56792	-99616	0	0	1	0	40.00	147.57
2009:275:02:32:11.606	2009:275:02:33:18.606	56792	-99616	6	6	1	0	118.00	147.57
2009:275:02:33:18.606	2009:275:02:55:40.255	56792	-99616	6	6	1	1	129.00	147.57
2009:275:02:55:40.255	2009:275:04:55:21.228	56792	-99616	6	6	1	1	129.00	147.62
2009:275:04:55:21.228	2009:275:05:00:11.228	56792	-99616	6	6	1	1	129.00	147.66
2009:275:05:00:11.228	2009:275:05:05:01.228	56792	-99616	6	6	1	1	129.00	143.42
2009:275:05:05:01.228	2009:275:05:09:51.228	56792	-99616	6	6	1	1	129.00	128.74
2009:275:05:09:51.228	2009:275:05:14:41.228	56792	-99616	6	6	1	1	129.00	107.17
2009:275:05:14:41.228	2009:275:05:18:19.606	56792	-99616	6	6	1	1	129.00	85.72
2009:275:05:18:19.606	2009:275:05:19:31.228	56792	74424	6	6	1	0	118.00	85.72
2009:275:05:19:31.228	2009:275:05:21:19.606	56792	74424	6	6	1	0	118.00	71.64
2009:275:05:21:19.606	2009:275:05:21:23.606	11990	74424	6	6	1	0	118.00	71.64
2009:275:05:21:23.606	2009:275:05:21:27.606	11990	74424	6	6	1	0	118.00	71.64
2009:275:05:21:27.606	2009:275:05:21:51.606	11990	74424	0	0	1	0	40.00	71.64
2009:275:05:21:51.606	2009:275:05:22:58.606	11990	74424	6	6	1	0	118.00	71.64
2009:275:05:22:58.606	2009:275:05:24:04.654	11990	74424	6	6	1	1	129.00	71.64
2009:275:05:24:04.654	2009:275:07:44:04.654	11990	74424	6	6	1	1	129.00	67.92
2009:275:07:44:04.654	2009:275:10:04:04.654	11990	74424	6	6	1	1	129.00	67.97
2009:275:10:04:04.654	2009:275:12:24:04.654	11990	74424	6	6	1	1	129.00	68.02
2009:275:12:24:04.654	2009:275:14:44:04.654	11990	74424	6	6	1	1	129.00	68.07
2009:275:14:44:04.654	2009:275:17:04:04.654	11990	74424	6	6	1	1	129.00	68.11
2009:275:17:04:04.654	2009:275:19:04:24.606	11990	74424	6	6	1	1	129.00	68.16
2009:275:19:04:24.606	2009:275:19:04:34.857	11990	75624	6	6	1	0	118.00	68.16
2009:275:19:04:34.857	2009:275:19:07:24.606	11990	75624	6	6	1	0	118.00	68.20
2009:275:19:07:24.606	2009:275:19:09:14.857	10564	75624	6	6	1	0	118.00	68.20
