tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2008:311:05:41:10.363	2008:311:07:51:10.363	10798	92904	5	5	1	1	113.90	142.89
2008:311:07:51:10.363	2008:311:10:01:10.363	10798	92904	5	5	1	1	113.90	142.88
2008:311:10:01:10.363	2008:311:12:11:10.363	10798	92904	5	5	1	1	113.90	142.87
2008:311:12:11:10.363	2008:311:14:07:10.108	10798	92904	5	5	1	1	113.90	142.86
2008:311:14:07:10.108	2008:311:14:07:20.359	10798	92904	5	5	1	0	112.30	142.86
2008:311:14:07:20.359	2008:311:14:10:10.108	10798	92904	5	5	1	0	112.30	142.84
2008:311:14:10:10.108	2008:311:14:12:10.359	57525	92904	5	5	1	0	112.30	142.84
2008:311:14:12:10.359	2008:311:14:17:00.359	57525	92904	5	5	1	0	112.30	143.14
2008:311:14:17:00.359	2008:311:14:21:50.359	57525	92904	5	5	1	0	112.30	144.39
2008:311:14:21:50.359	2008:311:14:26:40.359	57525	92904	5	5	1	0	112.30	146.71
2008:311:14:26:40.359	2008:311:14:31:30.359	57525	92904	5	5	1	0	112.30	149.43
2008:311:14:31:30.359	2008:311:14:36:20.359	57525	92904	5	5	1	0	112.30	152.18
2008:311:14:36:20.359	2008:311:14:41:10.359	57525	92904	5	5	1	0	112.30	154.50
2008:311:14:41:10.359	2008:311:14:45:29.852	57525	92904	5	5	1	0	112.30	155.57
2008:311:14:45:29.852	2008:311:14:49:59.598	57525	92904	5	5	1	0	112.30	155.77
2008:311:14:49:59.598	2008:311:14:50:09.849	10777	74424	5	5	1	0	112.30	155.77
2008:311:14:50:09.849	2008:311:14:54:29.849	10777	74424	5	5	1	0	112.30	155.77
2008:311:14:54:29.849	2008:311:14:54:50.198	10777	74424	5	5	1	0	112.30	152.54
2008:311:14:54:50.198	2008:311:14:54:54.198	10777	74424	5	5	1	0	112.30	152.54
2008:311:14:54:54.198	2008:311:14:54:58.198	10777	74424	5	5	1	0	112.30	152.54
2008:311:14:54:58.198	2008:311:14:55:22.198	10777	74424	0	0	1	0	40.00	152.54
2008:311:14:55:22.198	2008:311:14:56:29.198	10777	74424	6	6	1	0	118.00	152.54
2008:311:14:56:29.198	2008:311:14:58:49.849	10777	74424	6	6	1	1	129.00	152.54
