tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2008:366:15:51:41.708	2008:366:15:52:48.708	10371	75620	1	1	1	0	58.30	141.19
2008:366:15:52:48.708	2008:366:15:52:49.708	10371	75620	1	1	1	1	57.00	141.19
2008:366:15:52:49.708	2008:366:15:57:29.708	10371	75620	1	1	1	1	57.00	141.31
2008:366:15:57:29.708	2008:366:16:02:09.708	10371	75620	1	1	1	1	57.00	141.73
2008:366:16:02:09.708	2008:366:16:06:49.708	10371	75620	1	1	1	1	57.00	142.41
2008:366:16:06:49.708	2008:366:16:11:29.708	10371	75620	1	1	1	1	57.00	143.05
2008:366:16:11:29.708	2008:366:16:15:05.562	10371	75620	1	1	1	1	57.00	143.39
2008:366:16:15:05.562	2008:366:17:59:35.557	10371	75620	1	1	1	1	57.00	143.45
2008:366:17:59:35.557	2008:366:18:02:35.557	10371	75620	1	1	1	0	58.30	143.49
2008:366:18:02:35.557	2008:366:18:02:39.557	10313	75620	1	1	1	0	58.30	143.49
2008:366:18:02:39.557	2008:366:18:02:43.557	10313	75620	1	1	1	0	58.30	143.49
2008:366:18:02:43.557	2008:366:18:03:07.557	10313	75620	0	0	1	0	40.00	143.49
2008:366:18:03:07.557	2008:366:18:04:14.557	10313	75620	5	5	1	0	112.30	143.49
2008:366:18:04:14.557	2008:366:18:04:25.557	10313	75620	5	5	1	1	113.90	143.49
2008:366:18:04:25.557	2008:366:18:09:15.557	10313	75620	5	5	1	1	113.90	143.75
2008:366:18:09:15.557	2008:366:18:13:28.533	10313	75620	5	5	1	1	113.90	144.44
2008:366:18:13:28.533	2008:366:20:28:28.533	10313	75620	5	5	1	1	113.90	144.63
2008:366:20:28:28.533	2008:366:22:43:28.533	10313	75620	5	5	1	1	113.90	144.66
2008:366:22:43:28.533	2009:001:00:58:28.533	10313	75620	5	5	1	1	113.90	144.69
2009:001:00:58:28.533	2009:001:03:03:11.557	10313	75620	5	5	1	1	113.90	144.72
2009:001:03:03:11.557	2009:001:03:06:11.557	10313	90519	5	5	1	0	112.30	144.75
2009:001:03:06:11.557	2009:001:03:06:15.557	10441	90519	5	5	1	0	112.30	144.75
2009:001:03:06:15.557	2009:001:03:06:19.557	10441	90519	5	5	1	0	112.30	144.75
2009:001:03:06:19.557	2009:001:03:06:43.557	10441	90519	0	0	1	0	40.00	144.75
2009:001:03:06:43.557	2009:001:03:07:50.557	10441	90519	5	5	1	0	112.30	144.75
2009:001:03:07:50.557	2009:001:03:08:01.557	10441	90519	5	5	1	1	113.90	144.75
2009:001:03:08:01.557	2009:001:03:12:51.557	10441	90519	5	5	1	1	113.90	144.91
2009:001:03:12:51.557	2009:001:03:17:41.557	10441	90519	5	5	1	1	113.90	145.54
2009:001:03:17:41.557	2009:001:03:22:31.557	10441	90519	5	5	1	1	113.90	146.63
2009:001:03:22:31.557	2009:001:03:27:21.557	10441	90519	5	5	1	1	113.90	147.79
2009:001:03:27:21.557	2009:001:03:32:11.557	10441	90519	5	5	1	1	113.90	148.84
2009:001:03:32:11.557	2009:001:03:36:50.298	10441	90519	5	5	1	1	113.90	149.40
2009:001:03:36:50.298	2009:001:05:41:50.298	10441	90519	5	5	1	1	113.90	149.53
2009:001:05:41:50.298	2009:001:07:46:50.298	10441	90519	5	5	1	1	113.90	149.61
2009:001:07:46:50.298	2009:001:09:40:10.295	10441	90519	5	5	1	1	113.90	149.68
2009:001:09:40:10.295	2009:001:09:43:10.295	10441	75620	5	5	1	0	112.30	149.75
2009:001:09:43:10.295	2009:001:09:43:14.295	10384	75620	5	5	1	0	112.30	149.75
2009:001:09:43:14.295	2009:001:09:43:18.295	10384	75620	5	5	1	0	112.30	149.75
2009:001:09:43:18.295	2009:001:09:43:42.295	10384	75620	0	0	1	0	40.00	149.75
2009:001:09:43:42.295	2009:001:09:44:49.295	10384	75620	4	4	1	0	92.00	149.75
2009:001:09:44:49.295	2009:001:09:44:50.295	10384	75620	4	4	1	1	99.20	149.75
2009:001:09:44:50.295	2009:001:09:49:30.295	10384	75620	4	4	1	1	99.20	149.96
2009:001:09:49:30.295	2009:001:09:54:10.295	10384	75620	4	4	1	1	99.20	150.74
2009:001:09:54:10.295	2009:001:09:58:50.295	10384	75620	4	4	1	1	99.20	152.02
2009:001:09:58:50.295	2009:001:10:03:30.295	10384	75620	4	4	1	1	99.20	153.27
2009:001:10:03:30.295	2009:001:10:07:34.551	10384	75620	4	4	1	1	99.20	153.96
2009:001:10:07:34.551	2009:001:11:52:04.546	10384	75620	4	4	1	1	99.20	154.11
2009:001:11:52:04.546	2009:001:11:55:04.546	10384	90519	4	4	1	0	92.00	154.16
2009:001:11:55:04.546	2009:001:11:55:08.546	10415	90519	4	4	1	0	92.00	154.16
2009:001:11:55:08.546	2009:001:11:55:12.546	10415	90519	4	4	1	0	92.00	154.16
2009:001:11:55:12.546	2009:001:11:55:36.546	10415	90519	0	0	1	0	40.00	154.16
2009:001:11:55:36.546	2009:001:11:56:43.546	10415	90519	5	5	1	0	112.30	154.16
2009:001:11:56:43.546	2009:001:11:56:44.546	10415	90519	5	5	1	1	113.90	154.16
