Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:363:23:18:47.041	 31.39907217	 15.96220919
2008:363:23:19:19.841	 31.39733079	 15.95560697
2008:363:23:19:52.641	 31.39548774	 15.94903001
2008:363:23:20:25.441	 31.39354568	 15.94247790
2008:363:23:20:58.241	 31.39150720	 15.93595026
2008:363:23:21:31.041	 31.38937484	 15.92944671
2008:363:23:22:03.841	 31.38715107	 15.92296687
2008:363:23:22:36.641	 31.38483829	 15.91651038
2008:363:23:23:09.441	 31.38243886	 15.91007689
2008:363:23:23:42.241	 31.37995508	 15.90366605
2008:363:23:24:15.041	 31.37738917	 15.89727752
2008:363:23:24:47.841	 31.37474334	 15.89091096
2008:363:23:25:20.641	 31.37201971	 15.88456606
2008:363:23:25:53.441	 31.36922037	 15.87824249
2008:363:23:26:26.241	 31.36634735	 15.87193996
2008:363:23:26:59.041	 31.36340262	 15.86565815
2008:363:23:27:31.841	 31.36038814	 15.85939677
2008:363:23:28:04.641	 31.35730577	 15.85315554
2008:363:23:28:37.441	 31.35415738	 15.84693417
2008:363:23:29:10.241	 31.35094474	 15.84073239
2008:363:23:29:43.041	 31.34766963	 15.83454992
2008:363:23:30:15.841	 31.34433375	 15.82838651
2008:363:23:30:48.641	 31.34093878	 15.82224190
2008:363:23:31:21.441	 31.33748634	 15.81611583
2008:363:23:31:54.241	 31.33397803	 15.81000807
2008:363:23:32:27.041	 31.33041539	 15.80391837
2008:363:23:32:59.841	 31.32679995	 15.79784649
2008:363:23:33:32.641	 31.32313319	 15.79179222
2008:363:23:34:05.441	 31.31941654	 15.78575532
2008:363:23:34:38.241	 31.31565141	 15.77973558
2008:363:23:35:11.041	 31.31183918	 15.77373278
2008:363:23:35:43.841	 31.30798120	 15.76774671
2008:363:23:36:16.641	 31.30407876	 15.76177718
2008:363:23:36:49.441	 31.30013314	 15.75582397
2008:363:23:37:22.241	 31.29614559	 15.74988690
2008:363:23:37:55.041	 31.29211733	 15.74396577
2008:363:23:38:27.841	 31.28804955	 15.73806040
