tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:005:18:23:33.633	2009:005:18:28:33.633	10839	75624	6	6	1	1	129.00	105.39
2009:005:18:28:33.633	2009:005:18:33:33.633	10839	75624	6	6	1	1	129.00	125.92
2009:005:18:33:33.633	2009:005:18:37:59.735	10839	75624	6	6	1	1	129.00	139.21
2009:005:18:37:59.735	2009:005:20:52:59.735	10839	75624	6	6	1	1	129.00	142.38
2009:005:20:52:59.735	2009:005:23:07:59.735	10839	75624	6	6	1	1	129.00	142.33
2009:005:23:07:59.735	2009:006:01:22:59.735	10839	75624	6	6	1	1	129.00	142.29
2009:006:01:22:59.735	2009:006:03:37:59.735	10839	75624	6	6	1	1	129.00	142.25
2009:006:03:37:59.735	2009:006:05:36:59.982	10839	75624	6	6	1	1	129.00	142.20
2009:006:05:36:59.982	2009:006:05:37:10.233	10839	90520	6	6	1	0	118.00	142.20
2009:006:05:37:10.233	2009:006:05:39:59.982	10839	90520	6	6	1	0	118.00	142.16
2009:006:05:39:59.982	2009:006:05:42:00.233	10445	90520	6	6	1	0	118.00	142.16
2009:006:05:42:00.233	2009:006:05:44:50.582	10445	90520	6	6	1	0	118.00	142.25
2009:006:05:44:50.582	2009:006:05:44:54.582	10445	90520	6	6	1	0	118.00	142.25
2009:006:05:44:54.582	2009:006:05:44:58.582	10445	90520	6	6	1	0	118.00	142.25
2009:006:05:44:58.582	2009:006:05:45:22.582	10445	90520	0	0	1	0	40.00	142.25
2009:006:05:45:22.582	2009:006:05:46:29.582	10445	90520	5	5	1	0	112.30	142.25
2009:006:05:46:29.582	2009:006:05:46:50.233	10445	90520	5	5	1	1	113.90	142.25
2009:006:05:46:50.233	2009:006:05:51:40.233	10445	90520	5	5	1	1	113.90	142.66
2009:006:05:51:40.233	2009:006:05:56:30.233	10445	90520	5	5	1	1	113.90	143.52
2009:006:05:56:30.233	2009:006:06:01:20.233	10445	90520	5	5	1	1	113.90	144.59
2009:006:06:01:20.233	2009:006:06:06:10.233	10445	90520	5	5	1	1	113.90	145.73
2009:006:06:06:10.233	2009:006:06:11:00.233	10445	90520	5	5	1	1	113.90	146.78
2009:006:06:11:00.233	2009:006:06:15:50.233	10445	90520	5	5	1	1	113.90	147.57
2009:006:06:15:50.233	2009:006:06:20:40.233	10445	90520	5	5	1	1	113.90	147.96
2009:006:06:20:40.233	2009:006:06:24:41.795	10445	90520	5	5	1	1	113.90	147.99
2009:006:06:24:41.795	2009:006:08:49:41.795	10445	90520	5	5	1	1	113.90	147.97
2009:006:08:49:41.795	2009:006:11:14:41.795	10445	90520	5	5	1	1	113.90	148.04
2009:006:11:14:41.795	2009:006:13:39:41.795	10445	90520	5	5	1	1	113.90	148.11
2009:006:13:39:41.795	2009:006:16:04:41.795	10445	90520	5	5	1	1	113.90	148.17
2009:006:16:04:41.795	2009:006:18:29:41.795	10445	90520	5	5	1	1	113.90	148.24
2009:006:18:29:41.795	2009:006:20:54:41.795	10445	90520	5	5	1	1	113.90	148.31
2009:006:20:54:41.795	2009:006:23:19:41.795	10445	90520	5	5	1	1	113.90	148.37
2009:006:23:19:41.795	2009:007:01:44:41.795	10445	90520	5	5	1	1	113.90	148.44
2009:007:01:44:41.795	2009:007:03:52:21.543	10445	90520	5	5	1	1	113.90	148.50
2009:007:03:52:21.543	2009:007:03:52:31.794	10445	75624	5	5	1	0	112.30	148.50
2009:007:03:52:31.794	2009:007:03:55:21.543	10445	75624	5	5	1	0	112.30	148.56
2009:007:03:55:21.543	2009:007:03:55:25.543	10274	75624	5	5	1	0	112.30	148.56
2009:007:03:55:25.543	2009:007:03:55:29.543	10274	75624	5	5	1	0	112.30	148.56
