tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:364:05:32:43.124	2009:364:05:37:33.124	11354	75624	6	6	1	1	129.00	111.06
2009:364:05:37:33.124	2009:364:05:42:23.124	11354	75624	6	6	1	1	129.00	90.76
2009:364:05:42:23.124	2009:364:05:46:10.541	11354	75624	6	6	1	1	129.00	78.82
2009:364:05:46:10.541	2009:364:07:38:50.285	11354	75624	6	6	1	1	129.00	76.47
2009:364:07:38:50.285	2009:364:07:39:00.536	11354	75624	6	6	1	0	118.00	76.47
2009:364:07:39:00.536	2009:364:07:41:50.285	11354	75624	6	6	1	0	118.00	76.40
2009:364:07:41:50.285	2009:364:07:41:54.285	11957	75624	6	6	1	0	118.00	76.40
2009:364:07:41:54.285	2009:364:07:41:58.285	11957	75624	6	6	1	0	118.00	76.40
2009:364:07:41:58.285	2009:364:07:42:22.285	11957	75624	0	0	1	0	40.00	76.40
2009:364:07:42:22.285	2009:364:07:43:20.536	11957	75624	1	1	1	0	58.30	76.40
2009:364:07:43:20.536	2009:364:07:43:29.285	11957	75624	1	1	1	0	58.30	75.96
2009:364:07:43:29.285	2009:364:07:47:40.536	11957	75624	1	1	1	1	57.00	75.96
2009:364:07:47:40.536	2009:364:07:52:00.536	11957	75624	1	1	1	1	57.00	74.37
2009:364:07:52:00.536	2009:364:07:56:20.536	11957	75624	1	1	1	1	57.00	71.91
2009:364:07:56:20.536	2009:364:08:00:22.117	11957	75624	1	1	1	1	57.00	70.40
2009:364:08:00:22.117	2009:364:09:55:22.117	11957	75624	1	1	1	1	57.00	70.03
2009:364:09:55:22.117	2009:364:11:50:22.117	11957	75624	1	1	1	1	57.00	70.01
2009:364:11:50:22.117	2009:364:13:25:05.755	11957	75624	1	1	1	1	57.00	69.99
2009:364:13:25:05.755	2009:364:13:26:52.440	11957	-99616	1	1	1	0	58.30	69.99
2009:364:13:26:52.440	2009:364:13:28:05.755	11957	-99616	1	1	1	0	58.30	69.97
2009:364:13:28:05.755	2009:364:13:30:42.189	56557	-99616	1	1	1	0	58.30	69.97
2009:364:13:30:42.189	2009:364:13:30:46.189	56557	-99616	1	1	1	0	58.30	69.97
