Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2009:270:18:34:51.987	 36.65798898	 24.07363594
2009:270:18:35:24.787	 36.67864048	 24.09277175
2009:270:18:35:57.587	 36.69925991	 24.11188012
2009:270:18:36:30.387	 36.71984737	 24.13096108
2009:270:18:37:03.187	 36.74040294	 24.15001468
2009:270:18:37:35.987	 36.76092673	 24.16904093
2009:270:18:38:08.787	 36.78141882	 24.18803989
2009:270:18:38:41.587	 36.80187932	 24.20701157
2009:270:18:39:14.387	 36.82230831	 24.22595601
2009:270:18:39:47.187	 36.84270588	 24.24487325
2009:270:18:40:19.987	 36.86307213	 24.26376331
2009:270:18:40:52.787	 36.88340713	 24.28262624
2009:270:18:41:25.587	 36.90371097	 24.30146206
2009:270:18:41:58.387	 36.92398375	 24.32027081
2009:270:18:42:31.187	 36.94422554	 24.33905252
2009:270:18:43:03.987	 36.96443643	 24.35780722
2009:270:18:43:36.787	 36.98461649	 24.37653496
2009:270:18:44:09.587	 37.00476582	 24.39523575
2009:270:18:44:42.387	 37.02488449	 24.41390965
2009:270:18:45:15.187	 37.04497258	 24.43255667
2009:270:18:45:47.987	 37.06503016	 24.45117687
2009:270:18:46:20.787	 37.08505733	 24.46977025
2009:270:18:46:53.587	 37.10505414	 24.48833688
2009:270:18:47:26.387	 37.12502068	 24.50687677
2009:270:18:47:59.187	 37.14495702	 24.52538996
2009:270:18:48:31.987	 37.16486324	 24.54387649
2009:270:18:49:04.787	 37.18473940	 24.56233639
2009:270:18:49:37.587	 37.20458559	 24.58076970
2009:270:18:50:10.387	 37.22440186	 24.59917645
2009:270:18:50:43.187	 37.24418830	 24.61755667
2009:270:18:51:15.987	 37.26394497	 24.63591040
2009:270:18:51:48.787	 37.28367195	 24.65423767
2009:270:18:52:21.587	 37.30336929	 24.67253852
2009:270:18:52:54.387	 37.32303707	 24.69081299
2009:270:18:53:27.187	 37.34267536	 24.70906111
2009:270:18:53:59.987	 37.36228421	 24.72728290
2009:270:18:54:32.787	 37.38186370	 24.74547842
2009:270:18:55:05.587	 37.40141389	 24.76364769
2009:270:18:55:38.387	 37.42093485	 24.78179074
2009:270:18:56:11.187	 37.44042664	 24.79990762
2009:270:18:56:43.987	 37.45988932	 24.81799836
2009:270:18:57:16.787	 37.47932295	 24.83606299
2009:270:18:57:49.587	 37.49872760	 24.85410155
2009:270:18:58:22.387	 37.51810333	 24.87211407
2009:270:18:58:55.187	 37.53745020	 24.89010058
2009:270:18:59:27.987	 37.55676827	 24.90806113
2009:270:19:00:00.787	 37.57605760	 24.92599575
2009:270:19:00:33.587	 37.59531825	 24.94390447
2009:270:19:01:06.387	 37.61455027	 24.96178733
2009:270:19:01:39.187	 37.63375373	 24.97964436
2009:270:19:02:11.987	 37.65292868	 24.99747560
2009:270:19:02:44.787	 37.67207519	 25.01528108
2009:270:19:03:17.587	 37.69119330	 25.03306084
2009:270:19:03:50.387	 37.71028307	 25.05081492
2009:270:19:04:23.187	 37.72934457	 25.06854334
2009:270:19:04:55.987	 37.74837784	 25.08624615
2009:270:19:05:28.787	 37.76738294	 25.10392337
2009:270:19:06:01.587	 37.78635992	 25.12157505
2009:270:19:06:34.387	 37.80530885	 25.13920122
2009:270:19:07:07.187	 37.82422977	 25.15680191
2009:270:19:07:39.987	 37.84312273	 25.17437716
2009:270:19:08:12.787	 37.86198779	 25.19192701
2009:270:19:08:45.587	 37.88082501	 25.20945148
2009:270:19:09:18.387	 37.89963443	 25.22695062
2009:270:19:09:51.187	 37.91841611	 25.24442446
2009:270:19:10:23.987	 37.93717009	 25.26187303
2009:270:19:10:56.787	 37.95589644	 25.27929637
2009:270:19:11:29.587	 37.97459519	 25.29669452
2009:270:19:12:02.387	 37.99326641	 25.31406751
2009:270:19:12:35.187	 38.01191014	 25.33141537
2009:270:19:13:07.987	 38.03052642	 25.34873814
2009:270:19:13:40.787	 38.04911532	 25.36603585
2009:270:19:14:13.587	 38.06767688	 25.38330855
2009:270:19:14:46.387	 38.08621115	 25.40055626
2009:270:19:15:19.187	 38.10471817	 25.41777901
2009:270:19:15:51.987	 38.12319800	 25.43497686
2009:270:19:16:24.787	 38.14165069	 25.45214982
2009:270:19:16:57.587	 38.16007628	 25.46929793
2009:270:19:17:30.387	 38.17847482	 25.48642123
2009:270:19:18:03.187	 38.19684635	 25.50351976
2009:270:19:18:35.987	 38.21519093	 25.52059355
2009:270:19:19:08.787	 38.23350860	 25.53764262
2009:270:19:19:41.587	 38.25179940	 25.55466703
2009:270:19:20:14.387	 38.27006339	 25.57166680
2009:270:19:20:47.187	 38.28830061	 25.58864196
2009:270:19:21:19.987	 38.30651111	 25.60559256
2009:270:19:21:52.787	 38.32469493	 25.62251862
2009:270:19:22:25.587	 38.34285211	 25.63942019
2009:270:19:22:58.387	 38.36098270	 25.65629729
2009:270:19:23:31.187	 38.37908675	 25.67314996
2009:270:19:24:03.987	 38.39716431	 25.68997824
2009:270:19:24:36.787	 38.41521541	 25.70678215
2009:270:19:25:09.587	 38.43324009	 25.72356174
2009:270:19:25:42.387	 38.45123842	 25.74031703
2009:270:19:26:15.187	 38.46921042	 25.75704807
2009:270:19:26:47.987	 38.48715614	 25.77375489
2009:270:19:27:20.787	 38.50507562	 25.79043752
2009:270:19:27:53.587	 38.52296892	 25.80709599
2009:270:19:28:26.387	 38.54083606	 25.82373034
2009:270:19:28:59.187	 38.55867710	 25.84034061
2009:270:19:29:31.987	 38.57649208	 25.85692682
2009:270:19:30:04.787	 38.59428104	 25.87348902
2009:270:19:30:37.587	 38.60182298	 25.88051090
2009:270:19:31:10.387	 38.61211924	 25.89011134
2009:270:19:31:43.187	 38.62985672	 25.90664995
2009:270:19:32:15.987	 38.64756882	 25.92316453
2009:270:19:32:48.787	 38.66525554	 25.93965513
2009:270:19:33:21.587	 38.68291693	 25.95612178
2009:270:19:33:54.387	 38.70055302	 25.97256452
2009:270:19:34:27.187	 38.71816383	 25.98898338
2009:270:19:34:59.987	 38.73574939	 26.00537840
2009:270:19:35:32.787	 38.75330974	 26.02174962
2009:270:19:36:05.587	 38.77084490	 26.03809706
2009:270:19:36:38.387	 38.78835490	 26.05442077
2009:270:19:37:11.187	 38.80583977	 26.07072078
2009:270:19:37:43.987	 38.82329955	 26.08699712
2009:270:19:38:16.787	 38.84073427	 26.10324984
2009:270:19:38:49.587	 38.85814395	 26.11947896
2009:270:19:39:22.387	 38.87552862	 26.13568452
2009:270:19:39:55.187	 38.89288832	 26.15186656
2009:270:19:40:27.987	 38.91022307	 26.16802510
2009:270:19:41:00.787	 38.92753292	 26.18416020
2009:270:19:41:33.587	 38.94481788	 26.20027187
2009:270:19:42:06.387	 38.96207799	 26.21636016
2009:270:19:42:39.187	 38.97931328	 26.23242510
2009:270:19:43:11.987	 38.99652378	 26.24846672
2009:270:19:43:44.787	 39.01370953	 26.26448506
2009:270:19:44:17.587	 39.03087055	 26.28048015
2009:270:19:44:50.387	 39.04800688	 26.29645203
2009:270:19:45:23.187	 39.06511854	 26.31240073
2009:270:19:45:55.987	 39.08220557	 26.32832628
2009:270:19:46:28.787	 39.09926800	 26.34422873
2009:270:19:47:01.587	 39.11630587	 26.36010810
2009:270:19:47:34.387	 39.13331919	 26.37596443
2009:270:19:48:07.187	 39.15030802	 26.39179775
2009:270:19:48:39.987	 39.16727236	 26.40760809
2009:270:19:49:12.787	 39.18421227	 26.42339550
2009:270:19:49:45.587	 39.20112777	 26.43916000
2009:270:19:50:18.387	 39.21801889	 26.45490162
2009:270:19:50:51.187	 39.23488566	 26.47062041
2009:270:19:51:23.987	 39.25172812	 26.48631639
2009:270:19:51:56.787	 39.26854630	 26.50198959
2009:270:19:52:29.587	 39.28534023	 26.51764006
2009:270:19:53:02.387	 39.30210994	 26.53326783
2009:270:19:53:35.187	 39.31885546	 26.54887292
2009:270:19:54:07.987	 39.33557683	 26.56445537
2009:270:19:54:40.787	 39.35227408	 26.58001522
2009:270:19:55:13.587	 39.36894724	 26.59555250
2009:270:19:55:46.387	 39.38559634	 26.61106723
2009:270:19:56:19.187	 39.40222142	 26.62655946
2009:270:19:56:51.987	 39.41882251	 26.64202922
2009:270:19:57:24.787	 39.43539963	 26.65747654
2009:270:19:57:57.587	 39.45195283	 26.67290144
2009:270:19:58:30.387	 39.46848212	 26.68830398
