tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2008:308:05:00:51.601	2008:308:05:00:55.979	62813	-20676	0	0	1	0	40.00	76.76
2008:308:05:00:55.979	2008:308:05:01:15.601	62813	-20676	0	0	1	0	40.00	71.60
2008:308:05:01:15.601	2008:308:05:02:22.601	62813	-20676	6	6	1	0	118.00	71.60
2008:308:05:02:22.601	2008:308:05:05:45.979	62813	-20676	6	6	1	1	129.00	71.60
2008:308:05:05:45.979	2008:308:05:10:35.979	62813	-20676	6	6	1	1	129.00	63.27
2008:308:05:10:35.979	2008:308:05:15:25.979	62813	-20676	6	6	1	1	129.00	55.00
2008:308:05:15:25.979	2008:308:05:19:44.605	62813	-20676	6	6	1	1	129.00	50.21
2008:308:05:19:44.605	2008:308:07:44:44.605	62813	-20676	6	6	1	1	129.00	49.15
2008:308:07:44:44.605	2008:308:10:09:44.605	62813	-20676	6	6	1	1	129.00	49.22
2008:308:10:09:44.605	2008:308:12:34:44.605	62813	-20676	6	6	1	1	129.00	49.30
2008:308:12:34:44.605	2008:308:14:59:44.605	62813	-20676	6	6	1	1	129.00	49.38
2008:308:14:59:44.605	2008:308:17:24:44.605	62813	-20676	6	6	1	1	129.00	49.45
2008:308:17:24:44.605	2008:308:19:14:34.601	62813	-20676	6	6	1	1	129.00	49.53
2008:308:19:14:34.601	2008:308:19:17:34.601	62813	-20676	6	6	1	0	118.00	49.53
2008:308:19:17:34.601	2008:308:19:22:34.601	57529	-20676	6	6	1	0	118.00	49.59
2008:308:19:22:34.601	2008:308:19:27:34.601	57529	-20676	6	6	1	0	118.00	54.16
2008:308:19:27:34.601	2008:308:19:32:34.601	57529	-20676	6	6	1	0	118.00	69.91
2008:308:19:32:34.601	2008:308:19:37:34.601	57529	-20676	6	6	1	0	118.00	92.34
2008:308:19:37:34.601	2008:308:19:42:34.601	57529	-20676	6	6	1	0	118.00	114.84
2008:308:19:42:34.601	2008:308:19:47:34.601	57529	-20676	6	6	1	0	118.00	136.66
2008:308:19:47:34.601	2008:308:19:51:21.860	57529	-20676	6	6	1	0	118.00	149.68
2008:308:19:51:21.860	2008:308:19:56:01.856	57529	-20676	6	6	1	0	118.00	152.13
2008:308:19:56:01.856	2008:308:19:59:01.856	10720	92905	6	6	1	0	118.00	152.14
2008:308:19:59:01.856	2008:308:19:59:05.856	10720	92905	6	6	1	0	118.00	152.14
2008:308:19:59:05.856	2008:308:19:59:09.856	10720	92905	6	6	1	0	118.00	152.14
2008:308:19:59:09.856	2008:308:19:59:33.856	10720	92905	0	0	1	0	40.00	152.14
2008:308:19:59:33.856	2008:308:20:00:40.856	10720	92905	5	5	1	0	112.30	152.14
2008:308:20:00:40.856	2008:308:20:00:41.856	10720	92905	5	5	1	1	113.90	152.14
2008:308:20:00:41.856	2008:308:20:05:21.856	10720	92905	5	5	1	1	113.90	151.94
2008:308:20:05:21.856	2008:308:20:10:01.856	10720	92905	5	5	1	1	113.90	151.11
2008:308:20:10:01.856	2008:308:20:14:41.856	10720	92905	5	5	1	1	113.90	149.52
2008:308:20:14:41.856	2008:308:20:19:21.856	10720	92905	5	5	1	1	113.90	147.75
2008:308:20:19:21.856	2008:308:20:24:01.856	10720	92905	5	5	1	1	113.90	146.03
2008:308:20:24:01.856	2008:308:20:28:41.856	10720	92905	5	5	1	1	113.90	144.59
2008:308:20:28:41.856	2008:308:20:33:21.856	10720	92905	5	5	1	1	113.90	143.60
2008:308:20:33:21.856	2008:308:20:37:27.942	10720	92905	5	5	1	1	113.90	143.23
2008:308:20:37:27.942	2008:308:22:52:27.942	10720	92905	5	5	1	1	113.90	143.17
2008:308:22:52:27.942	2008:309:01:07:27.942	10720	92905	5	5	1	1	113.90	143.16
2008:309:01:07:27.942	2008:309:03:22:27.942	10720	92905	5	5	1	1	113.90	143.15
2008:309:03:22:27.942	2008:309:05:37:27.942	10720	92905	5	5	1	1	113.90	143.15
2008:309:05:37:27.942	2008:309:07:52:27.942	10720	92905	5	5	1	1	113.90	143.14
2008:309:07:52:27.942	2008:309:09:53:37.940	10720	92905	5	5	1	1	113.90	143.13
2008:309:09:53:37.940	2008:309:09:56:37.940	10720	75620	5	5	1	0	112.30	143.12
2008:309:09:56:37.940	2008:309:09:56:41.940	10800	75620	5	5	1	0	112.30	143.12
2008:309:09:56:41.940	2008:309:09:56:45.940	10800	75620	5	5	1	0	112.30	143.12
2008:309:09:56:45.940	2008:309:09:57:09.940	10800	75620	0	0	1	0	40.00	143.12
2008:309:09:57:09.940	2008:309:09:57:57.940	10800	75620	5	5	1	0	112.30	143.12
2008:309:09:57:57.940	2008:309:09:58:16.940	10800	75620	5	5	1	0	112.30	141.38
2008:309:09:58:16.940	2008:309:10:02:17.940	10800	75620	5	5	1	1	113.90	141.38
2008:309:10:02:17.940	2008:309:10:06:26.663	10800	75620	5	5	1	1	113.90	136.42
2008:309:10:06:26.663	2008:309:12:11:26.663	10800	75620	5	5	1	1	113.90	134.79
2008:309:12:11:26.663	2008:309:14:16:26.663	10800	75620	5	5	1	1	113.90	134.76
2008:309:14:16:26.663	2008:309:16:21:26.663	10800	75620	5	5	1	1	113.90	134.73
2008:309:16:21:26.663	2008:309:18:15:33.940	10800	75620	5	5	1	1	113.90	134.70
2008:309:18:15:33.940	2008:309:18:18:33.940	10800	75620	5	5	1	0	112.30	134.67
2008:309:18:18:33.940	2008:309:18:18:37.940	09220	75620	5	5	1	0	112.30	134.67
