Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:363:23:59:57.292	 31.11883445	 15.52793845
2008:364:00:00:30.092	 31.11387557	 15.52253442
2008:364:00:01:02.892	 31.10890747	 15.51714118
2008:364:00:01:35.692	 31.10393057	 15.51175866
2008:364:00:02:08.492	 31.09894527	 15.50638679
2008:364:00:02:41.292	 31.09395198	 15.50102550
2008:364:00:03:14.092	 31.08895108	 15.49567471
2008:364:00:03:46.892	 31.08394296	 15.49033435
2008:364:00:04:19.692	 31.07892797	 15.48500437
2008:364:00:04:52.492	 31.07390649	 15.47968469
2008:364:00:05:25.292	 31.06887886	 15.47437524
2008:364:00:05:58.092	 31.06384543	 15.46907597
2008:364:00:06:30.892	 31.05880653	 15.46378680
2008:364:00:07:03.692	 31.05376249	 15.45850769
2008:364:00:07:36.492	 31.04871362	 15.45323856
2008:364:00:08:09.292	 31.04366024	 15.44797936
2008:364:00:08:42.092	 31.03860265	 15.44273004
2008:364:00:09:14.892	 31.03354114	 15.43749052
2008:364:00:09:47.692	 31.02847600	 15.43226077
2008:364:00:10:20.492	 31.02340751	 15.42704072
2008:364:00:10:53.292	 31.01833594	 15.42183033
2008:364:00:11:26.092	 31.01326156	 15.41662953
2008:364:00:11:58.892	 31.00818464	 15.41143827
2008:364:00:12:31.692	 31.00310541	 15.40625651
2008:364:00:13:04.492	 30.99802413	 15.40108420
2008:364:00:13:37.292	 30.99294105	 15.39592129
2008:364:00:14:10.092	 30.98785638	 15.39076772
2008:364:00:14:42.892	 30.98277037	 15.38562345
2008:364:00:15:15.692	 30.97768324	 15.38048845
2008:364:00:15:48.492	 30.97259520	 15.37536265
2008:364:00:16:21.292	 30.96750646	 15.37024602
2008:364:00:16:54.092	 30.96241724	 15.36513851
2008:364:00:17:26.892	 30.95732772	 15.36004007
2008:364:00:17:59.692	 30.95223812	 15.35495068
2008:364:00:18:32.492	 30.94714861	 15.34987028
2008:364:00:19:05.292	 30.94205939	 15.34479884
2008:364:00:19:38.092	 30.93697064	 15.33973631
2008:364:00:20:10.892	 30.93188252	 15.33468265
2008:364:00:20:43.692	 30.92679523	 15.32963783
2008:364:00:21:16.492	 30.92170892	 15.32460181
2008:364:00:21:49.292	 30.91662375	 15.31957455
2008:364:00:22:22.092	 30.91153989	 15.31455602
2008:364:00:22:54.892	 30.90645749	 15.30954617
2008:364:00:23:27.692	 30.90137671	 15.30454498
2008:364:00:24:00.492	 30.89629768	 15.29955240
2008:364:00:24:33.292	 30.89122056	 15.29456841
2008:364:00:25:06.092	 30.88614548	 15.28959296
2008:364:00:25:38.892	 30.88107257	 15.28462603
2008:364:00:26:11.692	 30.87600198	 15.27966759
2008:364:00:26:44.492	 30.87093384	 15.27471759
2008:364:00:27:17.292	 30.86586825	 15.26977602
2008:364:00:27:50.092	 30.86080536	 15.26484283
2008:364:00:28:22.892	 30.85574527	 15.25991800
2008:364:00:28:55.692	 30.85068811	 15.25500150
2008:364:00:29:28.492	 30.84563398	 15.25009330
2008:364:00:30:01.292	 30.84058301	 15.24519336
2008:364:00:30:34.092	 30.83553528	 15.24030166
2008:364:00:31:06.892	 30.83049092	 15.23541817
2008:364:00:31:39.692	 30.82545001	 15.23054286
2008:364:00:32:12.492	 30.82041266	 15.22567571
2008:364:00:32:45.292	 30.81537897	 15.22081669
2008:364:00:33:18.092	 30.81034902	 15.21596576
2008:364:00:33:50.892	 30.80532292	 15.21112291
2008:364:00:34:23.692	 30.80030074	 15.20628811
2008:364:00:34:56.492	 30.79528258	 15.20146133
2008:364:00:35:29.292	 30.79026851	 15.19664255
2008:364:00:36:02.092	 30.78525862	 15.19183174
2008:364:00:36:34.892	 30.78025299	 15.18702887
2008:364:00:37:07.692	 30.77525170	 15.18223393
2008:364:00:37:40.492	 30.77025481	 15.17744689
2008:364:00:38:13.292	 30.76526241	 15.17266772
2008:364:00:38:46.092	 30.76027457	 15.16789640
2008:364:00:39:18.892	 30.75529134	 15.16313291
2008:364:00:39:51.692	 30.75031281	 15.15837723
2008:364:00:40:24.492	 30.74533903	 15.15362933
2008:364:00:40:57.292	 30.74037007	 15.14888919
2008:364:00:41:30.092	 30.73540599	 15.14415679
2008:364:00:42:02.892	 30.73044685	 15.13943211
2008:364:00:42:35.692	 30.72549271	 15.13471512
2008:364:00:43:08.492	 30.72054362	 15.13000581
2008:364:00:43:41.292	 30.71559964	 15.12530415
2008:364:00:44:14.092	 30.71066083	 15.12061013
